uri;code;name;gisco_id;lau_id;lau_name;WKT_GEOMETRY
https://w3id.org/launuts/lau/2021/ES#28011;ES_28011;Ambite;ES_28011;28011;Ambite;MULTIPOLYGON (((-350645.486699998 4920306.0657,-350891.743500002 4919396.0516,-350482.141600002 4918474.9981,-349904.766800001 4918118.1079,-349797.9146 4917049.0236,-351132.3092 4915874.793,-350938.7808 4914572.2807,-353979.397100002 4911582.935,-354166.967500001 4910253.5525,-354514.6182 4910317.7794,-355419.033399999 4910322.6694,-356451.2434 4910552.3571,-357057.377999999 4910540.8251,-357542.953699999 4911137.5118,-358016.005800001 4911509.6291,-356875.383699998 4912407.1609,-356214.4637 4914264.813,-356179.452599999 4915092.453,-356710.7291 4916056.7542,-355802.798799999 4917247.5448,-353722.110399999 4918478.2738,-353625.175500002 4920460.5144,-353289.213300001 4920748.1578,-352698.774700001 4920982.0341,-351813.339499999 4921116.9119,-351194.013500001 4920971.5129,-350726.5273 4920767.7387,-350645.486699998 4920306.0657)))
https://w3id.org/launuts/lau/2021/ES#28012;ES_28012;Anchuelo;ES_28012;28012;Anchuelo;MULTIPOLYGON (((-360124.3413 4930721.9502,-361218.8902 4930599.0812,-361653.5372 4930371.9971,-362561.514600001 4930222.7314,-362930.928300001 4929828.5523,-363167.927499998 4929809.246,-363710.387400001 4929980.6641,-364362.217599999 4931334.4248,-365985.8715 4931877.6995,-369724.367199998 4934762.9275,-368522.9593 4936119.1009,-367440.719000001 4936005.4581,-366015.088500001 4937063.8417,-367199.919500001 4938046.1053,-365758.181000002 4938046.7295,-364399.0583 4936902.4158,-362698.270599999 4936515.8682,-361555.2982 4932433.8101,-360210.198399998 4931413.6144,-360124.3413 4930721.9502)))
https://w3id.org/launuts/lau/2021/ES#28013;ES_28013;Aranjuez;ES_28013;28013;Aranjuez;MULTIPOLYGON (((-398940.223299999 4884635.1957,-398490.278900001 4884637.0024,-397911.434 4883751.4433,-396010.850900002 4884153.2991,-397948.354699999 4882393.018,-398609.938299999 4880331.9323,-399908.982299998 4875833.4543,-399623.345800001 4874788.5983,-399034.9628 4874531.8482,-395612.4604 4875639.2204,-393838.568100002 4875730.967,-393401.304000001 4873452.4374,-391660.868900001 4873219.2033,-391506.887499999 4872805.5496,-391292.2403 4872228.9526,-391506.887499999 4871211.5041,-391982.821400002 4869799.9222,-391792.3431 4868999.8626,-395238.4606 4868495.033,-395541.637400001 4868535.6337,-399547.862599999 4867782.7876,-400202.8805 4866238.9465,-402486.472600002 4865059.7341,-404089.929000001 4864769.8871,-404846.403200001 4864219.648,-404129.047400001 4861380.5108,-408092.5222 4860631.1191,-409320.574099999 4860214.9082,-410179.2062 4859470.544,-411511.3574 4858315.7876,-413164.3237 4859232.8612,-416613.5178 4857346.6881,-417263.911499999 4855726.5416,-418260.0449 4854451.4748,-420586.181499999 4853005.3065,-423531.410500001 4849692.7746,-423491.681299999 4849210.4561,-424336.651900001 4849356.9081,-424672.001899999 4849352.5558,-426849.0966 4851386.2386,-429920.5614 4851893.1845,-431410.615899999 4852971.8153,-430618.2478 4854007.8141,-431305.9921 4855455.5583,-430515.718499999 4856059.1593,-427598.634300001 4857417.4502,-426697.3825 4856107.9875,-425927.096299998 4857888.4704,-425422.462200001 4858183.0452,-423665.936799999 4859128.4331,-422783.339899998 4858181.3943,-421360.271000002 4858033.4454,-421193.827 4859446.91,-418999.583700001 4860891.9196,-418540.802700002 4859935.8327,-419527.169300001 4858892.4195,-418820.704500001 4858470.314,-417736.728700001 4859304.1798,-417929.598700002 4860929.2925,-416557.268599998 4860430.807,-415148.513799999 4860800.2293,-414774.225000001 4861515.2927,-416178.318599999 4861619.291,-416828.451900002 4863011.7599,-415725.880199999 4862842.3967,-415287.9571 4863931.0291,-414221.627900001 4863937.2949,-414412.530999999 4865490.7518,-413637.011999998 4866446.2525,-411898.8475 4868706.5505,-410627.0143 4869070.2293,-410179.2062 4868688.8769,-409716.141399998 4868294.5473,-408290.726500001 4869986.4841,-407909.052000001 4871121.3398,-407301.130600002 4871230.5282,-406462.754799999 4870665.0049,-405968.092300002 4871844.6429,-404851.3686 4872158.4551,-404979.381999999 4873298.4779,-403101.270199999 4874182.9752,-403342.4087 4874918.7545,-402732.510499999 4875981.838,-403883.8519 4877264.8918,-401833.006700002 4878091.2676,-401292.081599999 4879506.8145,-402259.4791 4879493.4315,-402485.365800001 4879914.2579,-401599.311900001 4881789.7247,-400653.402899999 4882003.1547,-400690.162999999 4883542.064,-398940.223299999 4884635.1957)))
https://w3id.org/launuts/lau/2021/ES#28014;ES_28014;Arganda del Rey;ES_28014;28014;Arganda del Rey;MULTIPOLYGON (((-375100.931699999 4904570.2533,-375975.791499998 4904029.6158,-376123.735100001 4903723.2775,-376363.2947 4903419.3555,-376837.1818 4902978.7691,-377185.945700001 4902352.5299,-377495.746199999 4902254.9381,-377997.353500001 4902096.9261,-378955.424699999 4903099.9084,-379312.092300002 4903377.5642,-379776.9069 4903092.1776,-380334.0053 4902957.765,-381058.194200002 4903019.1001,-382813.104499999 4903512.5792,-387672.5757 4903336.7213,-388681.864300001 4905167.3841,-389512.3413 4905758.3865,-391506.887499999 4908399.8005,-391804.421300001 4908793.8903,-391506.887499999 4909073.818,-390760.0997 4909776.4511,-391148.520500001 4910379.851,-390492.222600002 4910826.7282,-391131.905499998 4911659.1792,-390956.667599998 4912209.9509,-389099.343699999 4911957.8314,-387938.664000001 4913042.5785,-386406.168000001 4912581.884,-386439.322700001 4915192.9457,-385254.660700001 4915741.2059,-384421.489999998 4915945.5334,-382568.292399999 4917147.639,-381388.200800002 4916887.0428,-381955.9626 4915232.3862,-381837.064599998 4912342.4322,-379977.290199999 4911420.1199,-379203.017900001 4910525.9209,-377495.746199999 4909797.9609,-376204.674800001 4909247.4993,-375956.4142 4908367.9088,-376612.032699998 4906807.6383,-375100.931699999 4904570.2533)))
https://w3id.org/launuts/lau/2021/ES#28015;ES_28015;Arroyomolinos;ES_28015;28015;Arroyomolinos;MULTIPOLYGON (((-438957.576400001 4904066.5959,-439392.711100001 4904277.3855,-439513.672800001 4905692.3386,-438855.890900001 4907332.3553,-438776.849300001 4909216.4922,-436742.279199999 4909872.0066,-436392.601399999 4909984.6731,-435726.647599999 4908753.4076,-434668.4417 4910152.0426,-433978.408799998 4910270.9262,-433291.700199999 4909801.2118,-432725.6098 4908535.6646,-431568.133000001 4907920.0646,-432396.588100001 4907194.5504,-432749.6734 4906133.7947,-434485.419199999 4903976.5189,-435334.259 4903415.7794,-436067.805199999 4903835.5307,-436742.279199999 4903597.1723,-437498.999600001 4903329.7548,-438957.576400001 4904066.5959),(-436742.279199999 4909056.8874,-437475.298 4908812.1023,-437581.510000002 4908640.7477,-436742.279199999 4908037.8979,-436692.913699999 4908009.5481,-436004.6107 4908273.7207,-436742.279199999 4909056.8874)))
https://w3id.org/launuts/lau/2021/ES#28016;ES_28016;Atazar;ES_28016;28016;Atazar (El);MULTIPOLYGON (((-380872.068 5007510.9188,-382450.895300001 5004294.2621,-382639.645100001 5002511.5219,-383727.5792 5001170.4109,-384178.5909 4999491.4937,-385359.630800001 4999705.1435,-385789.1756 5000279.6689,-386944.601 4999128.7812,-389274.630199999 4999041.7079,-389809.555799998 4999850.0294,-389889.503400002 5001213.8637,-389379.660100002 5001672.4427,-389245.353100002 5001934.266,-389172.4945 5002347.3483,-389192.532000002 5003228.089,-389140.879799999 5004033.5275,-388807.4223 5005149.9484,-388297.912999999 5006143.3391,-387837.606899999 5006825.9256,-386992.936900001 5007415.475,-383500.1785 5007069.4589,-380872.068 5007510.9188)))
https://w3id.org/launuts/lau/2021/ES#28017;ES_28017;Batres;ES_28017;28017;Batres;MULTIPOLYGON (((-434603.203200001 4900111.0257,-434166.7152 4899088.4095,-434373.030999999 4898263.4761,-433514.954399999 4896506.9122,-433763.557500001 4894773.8377,-435267.999499999 4895305.9129,-436742.279199999 4895197.4455,-437039.151999999 4895175.6038,-438446.0634 4895518.9166,-439502.741700001 4895622.8962,-439806.387600001 4894536.7428,-440412.8561 4894917.4165,-440282.0557 4895539.3219,-440116.1897 4896022.5755,-440042.106600001 4896498.783,-440031.085999999 4896913.643,-439308.900800001 4898634.1278,-439857.121599998 4900903.3804,-439847.099100001 4902378.6586,-438257.432500001 4902291.7095,-436742.279199999 4901747.6422,-435805.098200001 4901411.1304,-434603.203200001 4900111.0257)))
https://w3id.org/launuts/lau/2021/ES#28018;ES_28018;Becerril de la Sierra;ES_28018;28018;Becerril de la Sierra;MULTIPOLYGON (((-426592.263099998 4964780.2622,-427190.939300001 4964282.9031,-427967.671 4964094.9597,-428187.526999999 4963641.8851,-428037.078699999 4963417.6305,-427442.41 4963220.9716,-429185.5009 4962653.8194,-430243.2084 4960209.2822,-430985.542399999 4960468.0887,-431386.459600002 4960736.9524,-431547.093600001 4961001.4951,-431875.152100001 4961077.4259,-431386.626600001 4961299.8662,-431214.025699999 4961911.3829,-430797.200100001 4962555.8609,-431660.300099999 4964722.4131,-431222.207699999 4965409.538,-429879.434 4966116.6447,-427657.022799999 4966208.4015,-426341.8499 4965352.8032,-426592.263099998 4964780.2622)),((-434861.8541 4964248.5578,-435450.344599999 4964163.2823,-435760.759 4964033.9028,-436058.316 4964057.4596,-436269.433400001 4964199.2418,-434794.338799998 4965574.3865,-434540.4747 4965330.8579,-434954.861499999 4964903.4867,-434861.8541 4964248.5578),(-435604.775800001 4964763.4459,-435307.370499998 4964389.1623,-434986.716400001 4964696.2066,-435193.8171 4965059.4927,-435604.775800001 4964763.4459)),((-441765.1653 4978044.4995,-441109.7718 4977716.0748,-440873.3849 4976939.1138,-440823.9034 4976112.5446,-440925.092799999 4975574.2725,-440853.0691 4974871.3893,-440862.308600001 4974242.4593,-440799.134799998 4973164.7551,-440614.622699998 4972729.0352,-440608.555799998 4972463.2204,-440196.339699998 4971890.924,-440080.066500001 4971574.9708,-439829.319400001 4971409.9477,-439675.754099999 4970676.2273,-440900.909499999 4969245.399,-441973.7324 4968846.1982,-443109.1855 4969024.4899,-444042.692200001 4967499.3856,-444981.4637 4966780.008,-445800.775199998 4969731.4533,-445474.7903 4970795.2305,-443484.707699999 4973979.3121,-442898.010299999 4976941.9397,-441765.1653 4978044.4995)))
https://w3id.org/launuts/lau/2021/ES#28019;ES_28019;Belmonte de Tajo;ES_28019;28019;Belmonte de Tajo;MULTIPOLYGON (((-372725.707699999 4880185.4591,-372320.879700001 4881056.2349,-372361.797600001 4882087.7271,-373101.706599999 4882934.3522,-375145.428399999 4884074.7658,-375986.4782 4885377.5226,-375845.4364 4885610.0527,-375091.580800001 4886039.8909,-374708.586100001 4886338.1095,-374099.668499999 4886539.3538,-373838.958299998 4886567.6769,-373259.0394 4886913.7491,-372753.704500001 4887422.5766,-372516.983600002 4887551.9721,-372073.097199999 4887669.864,-371960.274900001 4887895.1659,-371751.829100002 4887867.6401,-371248.776299998 4888709.325,-371039.0504 4889172.0711,-370567.890700001 4889866.3036,-370197.475099999 4890815.1619,-370000.216899998 4891213.9762,-369602.862 4891835.503,-367765.225400001 4887798.2764,-367052.276299998 4885179.986,-368917.0013 4884557.8946,-372725.707699999 4880185.4591)))
https://w3id.org/launuts/lau/2021/ES#28020;ES_28020;Berzosa del Lozoya;ES_28020;28020;Berzosa del Lozoya;MULTIPOLYGON (((-396552.6428 5005873.148,-396134.309799999 5006411.375,-396429.810199998 5008112.2072,-391506.887499999 5010929.1454,-391199.996599998 5011406.061,-389133.978 5011456.0417,-388819.444800001 5009107.3105,-389595.307100002 5008648.159,-390649.962200001 5007233.7532,-391506.887499999 5007149.5622,-392525.944699999 5007049.4427,-393972.3785 5006309.6591,-394531.019099999 5005107.6196,-395541.637400001 5005328.0348,-396552.6428 5005873.148)))
