Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Municipios;698;Hiruela (La);97.734
Municipios;702;Horcajo de la Sierra-Aoslos;89.479
Municipios;719;Horcajuelo de la Sierra;94.536
Municipios;724;Hoyo de Manzanares;36.584
Municipios;730;Humanes de Madrid;31.246
Municipios;745;Leganés;16.847
Municipios;758;Loeches;28.433
Municipios;761;Lozoya;85.605
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;68.104
Municipios;783;Madarcos;92.498
Municipios;796;Madrid;0.000
Municipios;800;Majadahonda;19.700
Municipios;822;Manzanares el Real;51.894
Municipios;838;Meco;48.983
Municipios;843;Mejorada del Campo;21.041
Municipios;856;Miraflores de la Sierra;55.446
Municipios;869;Molar (El);43.648
Municipios;875;Molinos (Los);55.681
Municipios;881;Montejo de la Sierra;87.651
Municipios;894;Moraleja de Enmedio;27.170
Municipios;908;Moralzarzal;46.641
Municipios;915;Morata de Tajuña;34.745
Municipios;920;Móstoles;24.488
Municipios;936;Navacerrada;52.561
Municipios;941;Navalafuente;59.831
Municipios;954;Navalagamella;56.822
Municipios;967;Navalcarnero;36.609
Municipios;973;Navarredonda y San Mamés;85.319
Municipios;992;Navas del Rey;60.506
Municipios;1006;Nuevo Baztán;48.300
Municipios;1013;Olmeda de las Fuentes;53.406
Municipios;1028;Orusco de Tajuña;57.456
Municipios;1049;Paracuellos de Jarama;24.676
Municipios;1065;Parla;23.672
Municipios;1071;Patones;65.895
Municipios;1087;Pedrezuela;45.794
Municipios;1090;Pelayos de la Presa;71.930
Municipios;1104;Perales de Tajuña;40.166
Municipios;1111;Pezuela de las Torres;51.574
Municipios;1126;Pinilla del Valle;91.312
Municipios;1132;Pinto;23.546
Municipios;1147;Piñuécar-Gandullas;83.028
Municipios;1150;Pozuelo de Alarcón;18.056
Municipios;1163;Pozuelo del Rey;41.510
Municipios;1179;Prádena del Rincón;85.383
Municipios;1185;Puebla de la Sierra;103.620
Municipios;9020;Puentes Viejas;75.189
Municipios;1198;Quijorna;45.968
Municipios;1202;Rascafría;95.391
Municipios;1219;Redueña;56.050
Municipios;1224;Ribatejada;51.730
Municipios;1230;Rivas-Vaciamadrid;16.274
Municipios;1245;Robledillo de la Jara;79.092
Municipios;1258;Robledo de Chavela;74.920
Municipios;1261;Robregordo;89.533
Municipios;1277;Rozas de Madrid (Las);19.981
Municipios;1283;Rozas de Puerto Real;92.193
Municipios;1296;San Agustín del Guadalix;36.132
Municipios;1300;San Fernando de Henares;18.348
Municipios;1317;San Lorenzo de El Escorial;62.624
Municipios;1338;San Martín de Valdeiglesias;78.770
Municipios;1322;San Martín de la Vega;30.402
Municipios;1343;San Sebastián de los Reyes;20.284
Municipios;1356;Santa María de la Alameda;70.111
Municipios;1369;Santorcaz;45.724
Municipios;1375;Santos de la Humosa (Los);46.496
Municipios;1381;Serna del Monte (La);80.844
Municipios;1408;Serranillos del Valle;35.694
Municipios;1415;Sevilla la Nueva;42.875
Municipios;1436;Somosierra;93.268
Municipios;1441;Soto del Real;44.268
Municipios;1454;Talamanca de Jarama;47.636
Municipios;1467;Tielmes;45.405
Municipios;1473;Titulcia;40.449
Municipios;1489;Torrejón de Ardoz;22.712
Municipios;1505;Torrejón de Velasco;29.513
Municipios;1492;Torrejón de la Calzada;27.728
Municipios;1512;Torrelaguna;60.357
Municipios;1527;Torrelodones;30.262
Municipios;1533;Torremocha de Jarama;64.681
