Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion
Municipios;506;Cubas de la Sagra;6607
Municipios;534;Daganzo de Arriba;10528
Municipios;549;Escorial (El);16681
Municipios;552;Estremera;1379
Municipios;565;Fresnedillas de la Oliva;1733
Municipios;571;Fresno de Torote;2412
Municipios;587;Fuenlabrada;192612
Municipios;590;Fuente el Saz de Jarama;6868
Municipios;604;Fuentidueña de Tajo;2223
Municipios;611;Galapagar;34653
Municipios;626;Garganta de los Montes;411
Municipios;632;Gargantilla del Lozoya y Pinilla de Buitrago;348
Municipios;647;Gascones;191
Municipios;650;Getafe;183872
Municipios;663;Griñón;10489
Municipios;679;Guadalix de la Sierra;6597
Municipios;685;Guadarrama;16583
Municipios;698;Hiruela (La);73
Municipios;702;Horcajo de la Sierra-Aoslos;169
Municipios;719;Horcajuelo de la Sierra;106
Municipios;724;Hoyo de Manzanares;8669
Municipios;730;Humanes de Madrid;19685
Municipios;745;Leganés;188687
Municipios;758;Loeches;8916
Municipios;761;Lozoya;599
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;1412
Municipios;783;Madarcos;57
Municipios;796;Madrid;3277451
Municipios;800;Majadahonda;72173
Municipios;822;Manzanares el Real;9223
Municipios;838;Meco;14960
Municipios;843;Mejorada del Campo;23673
Municipios;856;Miraflores de la Sierra;6588
Municipios;869;Molar (El);9305
Municipios;875;Molinos (Los);4599
Municipios;881;Montejo de la Sierra;356
Municipios;894;Moraleja de Enmedio;5336
Municipios;908;Moralzarzal;13597
Municipios;915;Morata de Tajuña;7908
Municipios;920;Móstoles;208632
Municipios;936;Navacerrada;3232
Municipios;941;Navalafuente;1586
Municipios;954;Navalagamella;2711
Municipios;967;Navalcarnero;30696
Municipios;973;Navarredonda y San Mamés;141
Municipios;992;Navas del Rey;3058
Municipios;1006;Nuevo Baztán;6678
Municipios;1013;Olmeda de las Fuentes;365
Municipios;1028;Orusco de Tajuña;1291
Municipios;1049;Paracuellos de Jarama;26293
Municipios;1065;Parla;130550
Municipios;1071;Patones;523
Municipios;1087;Pedrezuela;6168
Municipios;1090;Pelayos de la Presa;2814
Municipios;1104;Perales de Tajuña;3037
Municipios;1111;Pezuela de las Torres;925
Municipios;1126;Pinilla del Valle;196
Municipios;1132;Pinto;53625
Municipios;1147;Piñuécar-Gandullas;184
Municipios;1150;Pozuelo de Alarcón;87080
Municipios;1163;Pozuelo del Rey;1214
Municipios;1179;Prádena del Rincón;148
Municipios;1185;Puebla de la Sierra;75
Municipios;9020;Puentes Viejas;716
Municipios;1198;Quijorna;3589
Municipios;1202;Rascafría;1762
Municipios;1219;Redueña;295
Municipios;1224;Ribatejada;863
Municipios;1230;Rivas-Vaciamadrid;93272
Municipios;1245;Robledillo de la Jara;97
Municipios;1258;Robledo de Chavela;4485
Municipios;1261;Robregordo;70
Municipios;1277;Rozas de Madrid (Las);95294
Municipios;1283;Rozas de Puerto Real;579
Municipios;1296;San Agustín del Guadalix;13626
Municipios;1300;San Fernando de Henares;39286
Municipios;1317;San Lorenzo de El Escorial;18432
Municipios;1338;San Martín de Valdeiglesias;8726
Municipios;1322;San Martín de la Vega;19788
Municipios;1343;San Sebastián de los Reyes;90958
Municipios;1356;Santa María de la Alameda;1420
Municipios;1369;Santorcaz;924
Municipios;1375;Santos de la Humosa (Los);2742
Municipios;1381;Serna del Monte (La);95
Municipios;1408;Serranillos del Valle;4436
Municipios;1415;Sevilla la Nueva;9387
Municipios;1436;Somosierra;87
Municipios;1441;Soto del Real;9075
