;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
97;127;Municipios;1198;Quijorna;3589;2;2.6313376678832414;263.1337667883241
98;128;Municipios;1202;Rascafría;1762;2;1.2918408946253193;129.18408946253192
99;129;Municipios;1219;Redueña;295;2;0.2162843722556579;21.62843722556579
100;130;Municipios;1224;Ribatejada;863;2;0.6327234347682467;63.272343476824666
101;132;Municipios;1245;Robledillo de la Jara;97;2;0.07111723426711462;7.111723426711462
102;133;Municipios;1258;Robledo de Chavela;4485;0;0.607468407579472;60.7468407579472
103;134;Municipios;1261;Robregordo;70;2;0.051321715450495096;5.13217154504951
104;136;Municipios;1283;Rozas de Puerto Real;579;2;0.4245039035119523;42.450390351195225
105;137;Municipios;1296;San Agustín del Guadalix;13626;3;0.8391058405398034;83.91058405398034
106;139;Municipios;1317;San Lorenzo de El Escorial;18432;3;1.1350652321172505;113.50652321172505
107;140;Municipios;1338;San Martín de Valdeiglesias;8726;0;1.1818883666752447;118.18883666752447
108;141;Municipios;1322;San Martín de la Vega;19788;3;1.2185693800529598;121.85693800529597
109;143;Municipios;1356;Santa María de la Alameda;1420;2;1.041097656281472;104.1097656281472
110;144;Municipios;1369;Santorcaz;924;2;0.6774466439465352;67.74466439465353
111;145;Municipios;1375;Santos de la Humosa (Los);2742;2;2.010344910932251;201.03449109322509
112;146;Municipios;1381;Serna del Monte (La);95;2;0.06965089953995762;6.965089953995762
113;147;Municipios;1408;Serranillos del Valle;4436;0;0.6008316289905324;60.08316289905324
114;148;Municipios;1415;Sevilla la Nueva;9387;0;1.27141715539543;127.14171553954301
115;149;Municipios;1436;Somosierra;87;2;0.06378556063132962;6.378556063132962
116;150;Municipios;1441;Soto del Real;9075;0;1.2291584835638145;122.91584835638145
117;151;Municipios;1454;Talamanca de Jarama;4114;2;3.0162505337619545;301.62505337619547
118;152;Municipios;1467;Tielmes;2768;2;2.0294072623852917;202.94072623852918
119;153;Municipios;1473;Titulcia;1367;2;1.0022397860118113;100.22397860118113
120;155;Municipios;1505;Torrejón de Velasco;4586;0;0.6211482981403476;62.114829814034756
121;156;Municipios;1492;Torrejón de la Calzada;9537;0;1.2917338245452452;129.17338245452453
122;157;Municipios;1512;Torrelaguna;4902;0;0.663948747815958;66.3948747815958
123;158;Municipios;1527;Torrelodones;24057;1;0.8706910418710891;87.06910418710892
124;159;Municipios;1533;Torremocha de Jarama;1065;2;0.7808232422111039;78.08232422111038
125;160;Municipios;1548;Torres de la Alameda;7707;0;1.0438704609175007;104.38704609175007
126;162;Municipios;1551;Valdaracete;614;2;0.45016476123719984;45.01647612371998
127;163;Municipios;1564;Valdeavero;1670;2;1.2243894971760971;122.43894971760972
128;164;Municipios;1570;Valdelaguna;1023;2;0.7500302129408069;75.00302129408068
129;165;Municipios;1586;Valdemanco;1022;2;0.7492970455772283;74.92970455772283
130;166;Municipios;1599;Valdemaqueda;792;2;0.5806685519541731;58.06685519541731
131;167;Municipios;1603;Valdemorillo;13254;3;0.8161976229645204;81.61976229645204
132;169;Municipios;1625;Valdeolmos-Alalpardo;4306;2;3.1570186675690266;315.70186675690263
133;170;Municipios;1631;Valdepiélagos;619;2;0.45383059805509235;45.383059805509234
134;171;Municipios;1646;Valdetorres de Jarama;4705;0;0.6372661889992008;63.72661889992008
135;172;Municipios;1659;Valdilecha;3065;2;2.2471579693681067;224.71579693681068
136;173;Municipios;1662;Valverde de Alcalá;515;2;0.3775811922429282;37.75811922429282
137;174;Municipios;1678;Velilla de San Antonio;12542;3;0.772351787175269;77.23517871752689
138;175;Municipios;1684;Vellón (El);2086;2;1.5293871204247538;152.93871204247537
139;176;Municipios;1697;Venturada;2392;2;1.753736333679775;175.3736333679775
140;177;Municipios;1718;Villa del Prado;6775;0;0.9176362232666495;91.76362232666494
141;178;Municipios;1701;Villaconejos;3438;2;2.5206293959828874;252.06293959828875
142;179;Municipios;1723;Villalbilla;15046;3;0.926551187198142;92.6551187198142
143;180;Municipios;1739;Villamanrique de Tajo;768;2;0.563072535228289;56.3072535228289
144;181;Municipios;1744;Villamanta;2648;2;1.9414271787558715;194.14271787558715
145;182;Municipios;1757;Villamantilla;1515;2;1.1107485558214296;111.07485558214296
146;183;Municipios;1782;Villanueva de Perales;1608;2;1.1789331206342302;117.89331206342301
147;184;Municipios;1760;Villanueva de la Cañada;22453;1;0.8126377338459312;81.26377338459312
148;185;Municipios;1776;Villanueva del Pardillo;17266;3;1.0632615178893472;106.32615178893472
149;186;Municipios;1795;Villar del Olmo;2192;2;1.607102860964075;160.7102860964075
150;187;Municipios;1809;Villarejo de Salvanés;7546;0;1.0220639026966991;102.20639026966991
151;188;Municipios;1816;Villaviciosa de Odón;28016;1;1.0139784773271994;101.39784773271994
152;189;Municipios;1821;Villavieja del Lozoya;280;2;0.20528686180198039;20.52868618019804
153;190;Municipios;1837;Zarzalejo;1771;2;1.298439400897526;129.8439400897526
