;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
82;109;Municipios;1006;Nuevo Baztán;354.17;3;1.3580974381439648;135.80974381439648
83;110;Municipios;1013;Olmeda de las Fuentes;24.49;0;0.491427061478797;49.1427061478797
84;111;Municipios;1028;Orusco de Tajuña;66.51;0;1.334618777417509;133.4618777417509
85;112;Municipios;1049;Paracuellos de Jarama;617.07;2;1.0946212584328538;109.46212584328538
86;114;Municipios;1071;Patones;16.14;0;0.32387230593171845;32.38723059317184
87;115;Municipios;1087;Pedrezuela;223.85;3;0.8583734125660741;85.83734125660742
88;116;Municipios;1090;Pelayos de la Presa;391.28;3;1.500399146164188;150.0399146164188
89;117;Municipios;1104;Perales de Tajuña;64.15;0;1.2872619842329454;128.72619842329453
90;118;Municipios;1111;Pezuela de las Torres;23.54;0;0.4723639455782312;47.23639455782312
91;119;Municipios;1126;Pinilla del Valle;8.02;0;0.16093283107635573;16.09328310763557
92;121;Municipios;1147;Piñuécar-Gandullas;9.75;0;0.19564776845317564;19.564776845317564
93;123;Municipios;1163;Pozuelo del Rey;41.24;0;0.8275398944624578;82.75398944624578
94;124;Municipios;1179;Prádena del Rincón;6.66;0;0.13364247568186152;13.364247568186153
95;125;Municipios;1185;Puebla de la Sierra;1.8;0;0.036119588022124734;3.6119588022124733
96;126;Municipios;9020;Puentes Viejas;12.94;0;0.25965970500349667;25.965970500349666
97;127;Municipios;1198;Quijorna;150.04;0;3.010768326021997;301.0768326021997
98;128;Municipios;1202;Rascafría;11.64;0;0.2335733358764066;23.35733358764066
99;129;Municipios;1219;Redueña;23.39;0;0.46935397990972083;46.935397990972085
100;130;Municipios;1224;Ribatejada;28.53;0;0.572495470150677;57.249547015067705
101;132;Municipios;1245;Robledillo de la Jara;6.37;0;0.12782320872274142;12.782320872274141
102;133;Municipios;1258;Robledo de Chavela;50.34;0;1.0101444783520883;101.01444783520883
103;134;Municipios;1261;Robregordo;4.3;0;0.08628568249729797;8.628568249729797
104;136;Municipios;1283;Rozas de Puerto Real;19.53;0;0.39189753004005334;39.18975300400533
