;Unnamed: 0;Tipo_Agrupacion;ID_Agrupacion;Nombre_Agrupacion;Valor_Agrupacion;Cluster;Variacion;Variacion_Porcentaje
98;116;Municipios;1202;Rascafría;95.391;0;1.1079891931823196;110.79891931823195
99;117;Municipios;1219;Redueña;56.05;2;0.9114902669180698;91.14902669180698
100;118;Municipios;1224;Ribatejada;51.73;1;1.0838449897668712;108.38449897668711
101;120;Municipios;1245;Robledillo de la Jara;79.092;0;0.9186724247274483;91.86724247274482
102;121;Municipios;1258;Robledo de Chavela;74.92;0;0.8702136506926165;87.02136506926165
103;122;Municipios;1261;Robregordo;89.533;0;1.0399471274354248;103.99471274354248
104;124;Municipios;1283;Rozas de Puerto Real;92.193;0;1.0708436612160224;107.08436612160224
105;125;Municipios;1296;San Agustín del Guadalix;36.132;3;1.0832533197422;108.32533197422
106;127;Municipios;1317;San Lorenzo de El Escorial;62.624;2;1.018397260936257;101.8397260936257
107;128;Municipios;1338;San Martín de Valdeiglesias;78.77;0;0.9149323180066391;91.4932318006639
108;129;Municipios;1322;San Martín de la Vega;30.402;3;0.9114653887634885;91.14653887634884
109;131;Municipios;1356;Santa María de la Alameda;70.111;2;1.1401515451185156;114.01515451185156
110;132;Municipios;1369;Santorcaz;45.724;1;0.9580075065165362;95.80075065165362
111;133;Municipios;1375;Santos de la Humosa (Los);46.496;1;0.9741824211134825;97.41824211134825
112;134;Municipios;1381;Serna del Monte (La);80.844;0;0.9390223221648943;93.90223221648944
113;135;Municipios;1408;Serranillos del Valle;35.694;3;1.0701218862747175;107.01218862747174
114;136;Municipios;1415;Sevilla la Nueva;42.875;1;0.8983153670259928;89.83153670259928
115;137;Municipios;1436;Somosierra;93.268;0;1.0833300423491585;108.33300423491585
116;138;Municipios;1441;Soto del Real;44.268;1;0.9275014499710006;92.75014499710007
117;139;Municipios;1454;Talamanca de Jarama;47.636;1;0.9980676576944651;99.80676576944651
118;140;Municipios;1467;Tielmes;45.405;1;0.9513238306662438;95.13238306662439
119;141;Municipios;1473;Titulcia;40.449;3;1.212678886589512;121.2678886589512
120;143;Municipios;1505;Torrejón de Velasco;29.513;3;0.8848127760863377;88.48127760863377
121;144;Municipios;1492;Torrejón de la Calzada;27.728;3;0.8312976876400898;83.12976876400899
122;145;Municipios;1512;Torrelaguna;60.357;2;0.9815310979549321;98.15310979549321
123;146;Municipios;1527;Torrelodones;30.262;3;0.9072681269245672;90.72681269245672
124;147;Municipios;1533;Torremocha de Jarama;64.681;2;1.0518483845589237;105.18483845589238
125;148;Municipios;1548;Torres de la Alameda;37.051;3;1.1108053456705484;111.08053456705484
126;150;Municipios;1551;Valdaracete;58.985;2;0.9592195074783648;95.92195074783648
127;151;Municipios;1564;Valdeavero;47.888;1;1.0033475520965771;100.33475520965771
128;152;Municipios;1570;Valdelaguna;50.708;1;1.0624320846916395;106.24320846916395
129;153;Municipios;1586;Valdemanco;65.264;2;1.0613291843022463;106.13291843022463
130;154;Municipios;1599;Valdemaqueda;80.311;0;0.9328314001705116;93.28314001705115
131;155;Municipios;1603;Valdemorillo;49.031;1;1.0272956445632992;102.72956445632992
132;157;Municipios;1625;Valdeolmos-Alalpardo;37.129;3;1.1131438201236616;111.31438201236617
133;158;Municipios;1631;Valdepiélagos;51.502;1;1.0790679424506748;107.90679424506749
134;159;Municipios;1646;Valdetorres de Jarama;41.951;1;0.878955754218249;87.8955754218249
135;160;Municipios;1659;Valdilecha;45.871;1;0.9610874449177683;96.10874449177683
136;161;Municipios;1662;Valverde de Alcalá;42.548;1;0.8914640754803952;89.14640754803952
137;162;Municipios;1678;Velilla de San Antonio;21.48;3;0.643979887857369;64.3979887857369
138;163;Municipios;1684;Vellón (El);48.389;1;1.0138444850150616;101.38444850150617
139;164;Municipios;1697;Venturada;52.667;1;1.103476978079486;110.34769780794859
140;165;Municipios;1718;Villa del Prado;66.911;2;1.0881128501294375;108.81128501294374
141;166;Municipios;1701;Villaconejos;55.549;2;0.9033429587338423;90.33429587338424
142;167;Municipios;1723;Villalbilla;39.662;3;1.1890842789664324;118.90842789664325
143;168;Municipios;1739;Villamanrique de Tajo;64.302;2;1.0456850516211549;104.56850516211549
144;169;Municipios;1744;Villamanta;47.225;1;0.9894564013481635;98.94564013481634
145;170;Municipios;1757;Villamantilla;53.9;1;1.129310747118391;112.9310747118391
146;171;Municipios;1782;Villanueva de Perales;50.249;1;1.052815134173507;105.28151341735071
147;172;Municipios;1760;Villanueva de la Cañada;43.204;1;0.9052085624954167;90.52085624954167
148;173;Municipios;1776;Villanueva del Pardillo;28.83;3;0.8643361344007424;86.43361344007424
149;174;Municipios;1795;Villar del Olmo;48.941;1;1.0254099679911164;102.54099679911164
150;175;Municipios;1809;Villarejo de Salvanés;50.672;1;1.0616778140627663;106.16778140627663
151;176;Municipios;1816;Villaviciosa de Odón;26.157;3;0.7841984137190503;78.41984137190504
152;177;Municipios;1821;Villavieja del Lozoya;80.015;0;0.9293932896445504;92.93932896445504
153;178;Municipios;1837;Zarzalejo;65.28;2;1.0615893777771919;106.15893777771919
